"","Palabra (vegetal crudo)","Frecuencia","Palabra (vegetal procesado)","Frecuencia","Palabra (animal crudo)","Frecuencia","Palabra (animal procesado)","Frecuencia"
"1","cáscara",21,"harina",3,"pollo",12,"huesos",3
"2","mezcla",15,"tortillas",3,"huesos",7,"manteca",2
"3","naranja",15,"aceite_vegetal",2,"cerdo",4,"carnes",1
"4","zanahoria",15,"mezcla",2,"huevo",3,"cebo",1
"5","jitomate",13,"procesada",2,"carne",2,"cerdo",1
"6","hojas",7,"carne",1,"res",2,"cocinado",1
"7","pepino",7,"cereales",1,"residuos",2,"comida",1
"8","gabazo",6,"chayote",1,"antes",1,"crema",1
"9","cebolla",5,"cocidas",1,"carnes",1,"frías",1
"10","elote",5,"comida",1,"carnicería",1,"jamón",1
"11","fruta",5,"conservas",1,"cartílagos",1,"pollo",1
"12","limón",5,"día",1,"cebo",1,"recorte",1
"13","melón",5,"dobladas",1,"cocer",1,"residuos",1
"14","varios",5,"final",1,"conejo",1,"resto",1
"15","vegetales",5,"ingredientes",1,"descremado",1,"salchichas",1
